Latitude,Longitude,Stop Name,Classification
33.57429538,-117.1883166,Hancock & Leafwood/Milkwood,Residential
33.57172907,-117.1854091,Hancock & Las Brisas S/Coliseum,Residential
33.56840807,-117.1869161,Los Alamos & Parkcrest,Residential
33.56595511,-117.1905315,Los Alamos & Lincoln/Vista Murrieta,Residential
33.56250722,-117.1952641,Los Alamos & Monroe,Residential
33.55838788,-117.2015321,Los Alamos & Madison,Commercial
33.5623556,-117.2059171,Madison Center,Commercial
33.56106698,-117.2044958,Madison & Juniper,Commercial
33.55955189,-117.2027991,Madison @ Mulligans,Community
33.56848299,-117.2039832,Monroe & Sunflower,Residential
33.56649841,-117.2013814,Monroe & Symphony Park,Residential
33.56424954,-117.1968314,Murrieta Mesa High School,Community
33.55684241,-117.199817,Madison Square & Murrieta Spectrum Shopping Center,Commercial
33.55512526,-117.1970738,Murrieta Springs Plaza,Commercial
33.56963539,-117.1828728,Hancock & Calle Yorba Vista,Commercial
33.56584677,-117.1824781,Hancock & Parkcrest,Residential
33.56425603,-117.18249,Rady Children's Specialists,Services
33.55770679,-117.1848695,Rancho Springs Medical Center,Services
33.54694545,-117.161328,Buchanan Elementary School,Community
33.54546058,-117.1670731,Torrey Pines & Sugarberry,Residential
33.56973139,-117.1963092,Lincoln & Wichita,Residential
33.57309887,-117.1981411,Shivela Middle School,Community
