Stop Name,Latitude,Longitude,Classification,Scores,Notes
Los Alamos & Monroe,33.56250722,-117.1952641,Residential,,
Los Alamos & Madison,33.55838788,-117.2015321,Commercial,,
Madison Center,33.5623556,-117.2059171,Commercial,,
Madison & Juniper,33.56106698,-117.2044958,Commercial,,
Madison @ Mulligans,33.55955189,-117.2027991,Community,,
Monroe & Sunflower,33.56848299,-117.2039832,Residential,,
Monroe & Symphony Park,33.56649841,-117.2013814,Residential,,
Murrieta Mesa High School,33.56424954,-117.1968314,Community,,
Madison Square & Murrieta Spectrum Shopping Center,33.55684241,-117.199817,Commercial,,
Murrieta Springs Plaza,33.55512526,-117.1970738,Commercial,,
Hancock & Calle Yorba Vista,33.56963539,-117.1828728,Commercial,,
Hancock & Parkcrest,33.56584677,-117.1824781,Residential,,
Rady Children's Specialists,33.56425603,-117.18249,Services,,
Rancho Springs Medical Center,33.55770679,-117.1848695,Services,,
Buchanan Elementary School,33.54694545,-117.161328,Community,,
Torrey Pines & Sugarberry,33.54546058,-117.1670731,Residential,,
Lincoln & Wichita,33.56973139,-117.1963092,Residential,,
Shivela Middle School,33.57309887,-117.1981411,Community,,
